track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,shazam_counts,explicit_track
Little Foot Big Foot (feat. Young Nudy),Atavista,Childish Gambino,2024-05-13,USRC12302587,"3,602",23,7362358,1483,4517785,67,6647943,266158,182200,26534406,265917250,381728,17,375,86,21,139488,16,296216,228,42895,1
Explï¿½ï¿½,Para Mi Ex,Myke Towers,2020-12-15,QMFMF2007349,"3,619",23,243931915,57909,7781405,62,337123245,1592106,38300,13056090,116038150,13620018,24,3123,86,3,19077,4,12008035,2206,466416,1
"Naiyo Lagda (From ""Kisi Ka Bhai Kisi Ki Jaan"")","Naiyo Lagda (From ""Kisi Ka Bhai Kisi Ki Jaan"")",Himesh Reshammiya,2023-02-12,INZ031412468,"3,638",22,5828713,790,115824,67,251302629,2884972,182200,26534406,265917250,87239915,2,5954,86,15,237120,2,12735768,7832,97864,0
Shellfish cumbia,Retumbo,H2O,2023-03-31,USA2B2308081,"3,633",22,239850720,2,4,67,244228052,570281,182200,26534406,265917250,98142716,28,2,86,15,237120,17,12735768,7832,854584,0
La Gï¿½ï¿½e,La Gï¿½ï¿½erita - Si,Grupo Marca Registrada,2024-04-26,BK4DA2412746,"3,645",22,27813921,1325,40146341,75,12969075,88088,182200,26534406,265917250,98142716,5,5,86,2,39467,17,104690,293,103648,0
ERE,ERE,juan karlos,2023-08-04,PHUM72300128,"3,626",22,117290821,8229,6844366,62,79061420,533194,220671,17870184,201566991,46522818,5,715,86,15,237120,17,31098,101,20508,1
Alcohol-Free,Alcohol-Free,TWICE,2021-06-09,US5TA2100022,"3,634",22,224295163,24906,7188926,62,398036555,5248109,154492,122614400,811061720,162479822,25,2581,46,1,32602,25,483553,1561,339808,0
Voices In My Head,Voices In My Head,Falling In Reverse,2022-05-31,USEP42231001,"3,644",22,122568479,33824,2017666,68,109752215,1100224,20900,2568996,33939631,15820345,7,51518,106,3,7303,14,28094423,9522,365803,1
LA NENA,LA NENA - Single,Lyanno,2024-04-11,QM4TW2488674,"3,643",22,29683046,4064,52935650,80,7710244,112034,182200,26534406,265917250,2613123,10,790,86,6,88547,21,770441,82,71193,1
Hati-Hati di Jalan,Manusia,Tulus,2022-03-03,FR2X42253130,"3,627",22,306652166,21841,7413119,69,225136062,2113507,371413,158047875,1719389454,98142716,17,13846,86,15,237120,17,12735768,7832,107807,0
Algo Mï¿½ï¿½,Algo Mï¿½ï¿½,Rauw Alejandro,2020-06-25,USSD12000187,"3,648",22,304134537,57388,9038307,64,345512160,1952713,327887,43897868,279992648,4682360,40,860,86,6,46735,10,3511988,1365,872301,0
Quicksand,Quicksand,Morray,2020-10-30,CA5KR2101974,"3,642",22,92536126,39798,3748995,53,290871758,2393255,17868,11967754,101473422,22027642,27,72653,235,4,2505,17,77453676,29684,1464482,1
Singapur,El Androide,El Alfa,2020-05-15,USDY42003198,"3,641",22,200520284,32859,6302679,64,477774248,3156383,619224,144110176,1255331962,9497811,6,1955,78,4,17685,8,6405667,6171,576685,0
La Jeepeta - Remix,La Jeepeta (Remix),Nio Garcia,2020-04-24,QM6MZ2057011,"3,625",22,672449007,89441,25654350,64,148269610,1257935,1264802,76708336,770493680,98142716,68,13831,24,27,345282,2,48472013,23470,1329269,1
Ojos Marrones,Ojos Marrones - Single,Dos Waves,2023-02-12,GX3Q92325690,"3,632",22,2307,32312,13259481,67,268591891,1143635,182200,26534406,265917250,373331912,28,1,86,15,237120,17,12735768,7832,1542,0
Skibidi Toilet,Skibidi Toilet,Lil Big Stack,2023-06-18,QZMEP2360644,"3,636",22,8388731,1929,194015,55,7936486,153016,1182000,31867349,639301182,98142716,28,5954,86,15,237120,17,12735768,7832,15378,0
Heaven Takes You Home,Paradise Again,Swedish House Mafia,2022-04-15,USUG12202132,"3,649",22,248202976,55197,31793054,71,59788261,351230,11712,2134589,36131031,1752736829,50,49346,347,35,1204670,12,6850903,1019,854584,0
Far Away (2020 Remaster),All The Right Reasons (15th Anniversary Expanded Edition),Nickelback,2020-10-02,USRH12000111,"3,661",22,378296524,1941,494700,61,148269610,1257935,182200,26534406,265917250,98142716,5,5954,86,15,237120,7,519451782,175525,854584,0
God Damn,Ek Tha Raja,Badshah,2024-03-18,INUM72400156,"3,651",22,34233316,1547,5202586,70,32452229,499855,182200,26534406,265917250,19904542,9,216,86,2,796,13,7187,13,66159,0
Razzi Bolja,Razzi Bolja,Harjeet Deewana,2021-01-17,ING582100020,"3,664",22,14329936,1206,238098,51,651601460,2438665,189,14251,249060,98142716,28,5954,86,15,237120,17,12735768,7832,38084,0
"Tested, Approved & Trusted",I Told Them...,Burna Boy,2023-08-23,USAT22307524,"3,658",22,42115225,15081,3685016,61,35754905,292516,171,694348,12150553,100107628,50,3272,86,6,39982,7,3480196,1097,972640,1
GALOPA,GALOPA,PEDRO SAMPAIO,2021-09-16,BRWMB2100721,"3,667",22,210287302,26385,7610967,57,312406682,1727224,352725,79097830,1043956869,20077955,17,5343,86,36,74508,7,18770,7832,302042,0
Reckless,Reckless,Madison Beer,2021-06-04,USSM12102874,"3,670",22,504851489,57183,22431648,66,156937871,2288818,175947,95616150,763454337,820387064,43,24679,86,12,84499,16,2913831,6029,845428,0
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-03,USRC12301713,"3,678",22,1065399331,3719,1828974,52,148269610,1257935,182200,26534406,265917250,98142716,51,377,86,2,7982,17,12735768,7832,854584,0
Drunk (And I Don't Wanna Go Home),Drunk (And I Don't Wanna Go Home),Elle King,2021-02-26,USRC12100003,"3,676",22,198817832,29696,13496258,61,72494045,589638,28163,5259924,88185708,240248194,53,207532,97,4,991,42,124606059,33325,1594014,0
Overdrive,Overdrive,Post Malone,2023-07-14,USUM72306020,"3,669",22,130236751,27992,6772366,63,9721972,104453,21289,4910687,52127762,98142716,17,7742,3,15,366175,8,3091452,1386,229064,0
Sugar Rush Ride,The Name Chapter: TEMPTATION,TOMORROW X TOGETHER,2023-01-27,USA2P2243432,"3,672",22,178523233,14560,6470472,67,140763661,2394273,144009,133503343,697618053,53703779,11,1785,23,5,36012,36,905604,967,370282,0
Me Escapï¿,Me Escapï¿,DobleP,2023-09-07,QZNJZ2368122,"3,654",22,36559856,7332,6306859,67,44786762,189253,426900,63088852,722844173,98142716,28,214,86,3,3117,6,12735768,7832,81058,1
Aynen,Hermano,Heijan,2023-04-28,QZMZ92307983,"3,663",22,66701855,12381,2302824,57,132663199,408097,59853,1885010,52142540,289637676,7,2069,86,15,237120,17,12735768,7832,241463,0
Dance Alone,Dance Alone,Sia,2024-02-07,USAT22400525,"3,660",22,25180079,3020,15579341,3,4405480,64658,182200,26534406,265917250,2050084502,46,40258,79,32,6943957,45,847587,68,206471,0
Suano,Suano - Single,NTG,2024-03-24,TCAIA2470789,"3,656",22,15333864,1439,35368637,71,11215883,86574,121600,26534406,265917250,3407832,6,190,86,5,555882,1,12735768,7832,122965,1
Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),Calvin Harris,2022-05-27,GBARL2201128,"3,657",22,221965013,38872,27661038,60,51083768,550181,569,256156,4096148,3165598002,58,113411,345,62,1596584,45,2098569,1119,1046181,1
Pï¿½ï¿½gina De Ex - Ao Vivo N,Mari No Barzinho (Ao Vivo No RJ),Mari Fernandez,2024-04-26,BCZT72400033,"3,666",22,13842105,920,16028156,71,18663230,85838,182200,26534406,265917250,17057535,4,2,86,11,805419,9,231,7832,10827,0
Taaron Ke Shehar,Taaron Ke Shehar,Neha Kakkar,2020-09-20,INS182006274,"3,686",22,95962246,7017,3232549,58,663681127,5839475,182200,26534406,265917250,231939795,2,25,86,15,237120,5,12735768,7832,198978,0
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,2024-03-28,USWL12400691,"3,684",22,35185414,3730,5697401,68,14926797,144331,182200,26534406,265917250,6920836,21,422,86,3,21209,17,227701,109,143569,1
Churchill Downs (feat. Drake),Come Home The Kids Miss You,Jack Harlow,2022-05-06,USAT22203487,"3,690",22,153857576,59992,11239045,61,77159004,877109,11005,8710165,72804876,433000162,11,1803,156,15,237120,1,8753538,3263,577230,1
Eyvah Neye Yarar,Karï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Semicenk,2023-12-15,DGA0Q2317098,"3,698",22,27235294,2618,767611,67,74511800,233751,182200,26534406,265917250,329897277,2,95,86,1,1566667,17,12735768,7832,121649,0
Kitty,Kitty,Kenia OS,2024-04-23,MXF012400293,"3,680",22,23061213,703,18729564,77,18869254,360829,182200,26534406,265917250,14758237,11,172,86,18,214885,14,11507,21,37878,1
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,2023-03-04,INS182300550,"3,693",22,184580310,10142,5412622,64,169388630,2189048,182200,26534406,265917250,158580812,9,257,86,15,237120,12,12735768,7832,203774,0
Wildberry Lillet,Wildberry Lillet,Nina Chuba,2022-08-12,DEE862201008,"3,694",22,161145820,46697,7654058,58,62678908,513962,121215,34317249,409238375,125368581,25,20804,86,10,582833,9,12735768,7832,647249,0
Amapiano,Amapiano,Asake,2023-05-23,USUYG1489119,"3,701",22,68990989,21556,4941800,63,29014150,237930,309111,16832048,240070262,32844745,53,5137,79,5,101774,26,230682,624,721377,1
M.A (Mejores Amigos),M.A (Mejores Amigos) - Single,BM,2022-09-20,QZTVM2225505,"3,697",22,179475517,26160,3816329,2,162785261,622557,95000,2496551,32565249,98142716,2,1742,86,4,139218,17,12735768,7832,401773,1
Take A Bite,Take A Bite,beabadoobee,2024-05-09,GBK3W2402961,"3,700",22,18634348,2529,28016380,78,1314449,68494,182200,26534406,265917250,110446147,35,2559,8,15,156944,83,77485,63,31394,0
Geri Dï¿½ï¿½nem,Geri Dï¿½ï¿½nem,Semicenk,2023-05-05,FRX452325278,"3,702",22,111150894,11465,6557932,67,130717641,376889,39900,852150,31451449,7986595,7,5954,86,1,1089,17,12735768,7832,208321,0
Gimmie A Light,Gimmie A Light,Ice Spice,2024-05-10,USUG12400205,"3,692",22,8734499,1005,21736311,67,4823719,124556,182200,26534406,265917250,67008965,22,3397,415,13,453247,59,413454,206,39843,1
on the street (with J. Cole),on the street (with J. Cole),j-hope,2023-03-03,USA2P2251898,"3,689",22,183683364,21804,15669021,63,67664152,3768577,259000,146676533,803916984,124507195,15,7442,12,1,207,16,1256163,322,317811,1
LOST FOREVER,UTOPIA,Travis Scott,2023-07-28,USSM12305017,"3,683",22,66878719,33290,3109142,62,2866171,33960,661,684129,4277522,98142716,5,30,128,1,237120,3,168014,163,149968,1
SET ME FREE,READY TO BE,TWICE,2023-03-10,US5TA2300005,"3,705",22,117186345,11752,4854730,62,137633324,2497620,133155,89151707,580855649,84559361,11,1361,33,3,52357,1,575708,519,191507,0
Cake By The Ocean - Cover,TIK & TOK DANCE MIX,MUSIC LAB JPN,2023-05-12,TCJPV2340443,"3,707",22,1617307191,32312,13259481,67,148269610,1257935,182200,26534406,265917250,98142716,28,5954,86,15,237120,17,12735768,7832,854584,1
Por Dentro,Por Dentro,Rels B,2023-11-23,UYB282376016,"3,709",22,105759424,7383,10819131,67,52609155,629604,182200,26534406,265917250,276735397,10,1812,44,21,12178185,14,114291,7832,114185,1
Tchuco Nela,Tchuco Nela,MC Rogerinho,2022-04-08,BCN5Z2200003,"3,727",22,154127881,14889,8354745,72,233659337,1167552,585700,74359518,1245591509,499045923,5,216,86,26,213644,8,12735768,7832,136448,1
One in a Million,One in a Million,Bebe Rexha,2023-08-04,USWB12303800,"3,734",22,109868838,17147,65679098,70,6256696,55646,2428,385969,7034216,98142716,48,52099,5,42,866250,36,3490056,227,408957,0
Balanï¿½ï¿½o da ,Balanï¿½ï¿½o da ,Matheus Fernandes,2022-02-24,BCDE52200008,"3,719",22,237867475,19268,14221320,61,302341579,1218262,182200,26534406,265917250,745025834,27,5145,86,24,378419,10,12735768,7832,151448,0
Better Things,Better Things - Single,aespa,2023-08-18,KRA302300242,"3,738",22,72446983,7731,5625254,60,100786648,982757,29345,39545448,325517526,7512353,20,1825,3,5,86890,20,202223,132,106424,0
